# icon: 🐾
perro;correa
gato;bigotes
conejo;zanahoria
hámster;rueda
caballo;herradura
vaca;campana
oveja;lana
cerdo;barro
gallina;corral
pato;charco
águila;círculos
búho;noche
paloma;plaza
cuervo;brillo
delfín;salto
tiburón;silencio
ballena;eco
pulpo;tinta
medusa;picor
pingüino;traje
koala;abrazo
canguro;bolsillo
zorro;sigilo
lobo;manada
oso;cueva
ciervo;ramas
jirafa;mirador
elefante;memoria
rinoceronte;blindaje
camaleón;cambio
serpiente;zigzag
lagarto;sol
abeja;zumbido
mariposa;aleteo
león;melena
tigre;rayas
puma;sombra
pantera;sigilo
hiena;risita
mono;imitación
gorila;pecho
orangután;bosque
cebra;patrón
hipopótamo;río lento
cocodrilo;orilla
tortuga;paso lento
rana;charco
sapo;jardín
salamandra;piedra húmeda
loro;repetición
canario;jaula
pavo;pluma
avestruz;carrera
flamenco;una pata
erizo;bola
mapache;ladrón
nutria;juego
castor;dique
murciélago;techo
