paraguas;chaparrón
linterna;corte luz
reloj;segundero
llave;bolsillo
cartera;tarjeta
gafas;huellas
auricular;cable
cargador;enchufe
teclado;clic
ratón;alfombrilla
monitor;reflejo
impresora;atasco
microondas;pitido
nevera;imanes
horno;guante
sartén;aceite
cuchillo;tabla
tenedor;tres puntas
cuchara;postre
plato;lavavajillas
vaso;condensación
botella;rosca
mochila;cremallera
maleta;ruedas
casco;hebilla
cepillo;pelos
toalla;ganchito
jabón;espuma
champú;ducha
secador;ruido
plancha;vapor
aspiradora;polvo
ventilador;verano
calefactor;invierno
televisor;mando
martillo;clavo
destornillador;tornillo
tijera;papel
grapadora;oficina
pegamento;manualidad
cinta;paquete
carpeta;archivos
cuaderno;espiral
bolígrafo;mancha
lapicero;mina
borrador;viruta
regla;línea
calculadora;teclas
termómetro;fiebre
candado;llave gemela
silla;respaldo
mesa;esquina
cortina;ventana
almohada;sillón
manta;siesta
tostadora;palanca
batidora;ruido
cafetera;goteo
llavero;sonido
radio;ruleta
